Nam san xuat,Nguon xem phim,Ten phim,Diem phe binh,Ngay ra rap,The loai,Ngon ngu,Thoi luong phim
2023,https://www.rottentomatoes.com/m/one_ranger,One Ranger,2.5,05/05/2023,R,English,1h 35m
2023,https://www.rottentomatoes.com/m/fast_x,Fast X,5.6,19/05/2023,PG-13 (Intense Sequences of Violence|Action|Language|Some Suggestive Material),English,2h 21m
2023,https://www.rottentomatoes.com/m/dark_harvest_2022,Dark Harvest,6.7,11/10/2023,R (Strong Horror Violence|Brief Drug Use|Language Throughout|Gore),English,1h 20m
2023,https://www.rottentomatoes.com/m/the_marsh_kings_daughter,The Marsh King's Daughter,4.3,03/11/2023,R (Violence),English,1h 48m
2023,https://www.rottentomatoes.com/m/the_wonderful_story_of_henry_sugar,The Wonderful Story of Henry Sugar,9.5,20/09/2023,PG (Smoking),English,39m
2023,https://www.rottentomatoes.com/m/indiana_jones_and_the_dial_of_destiny,Indiana Jones and the Dial of Destiny,7.0,30/06/2023,PG-13 (Language|Action|Sequences of Violence|Smoking),English,2h 24m
2023,https://www.rottentomatoes.com/m/bobcat_moretti,Bobcat Moretti,7.1,04/08/2023,R (Drug Use|Some Violent Content|Language Throughout),English,1h 36m
2023,https://www.rottentomatoes.com/m/oppenheimer_2023,Oppenheimer,9.3,21/07/2023,R (Nudity|Language|Some Sexuality),English,3h 0m
2023,https://www.rottentomatoes.com/m/birth_rebirth,birth/rebirth,9.6,18/08/2023,R (Language|Gore|Disturbing Material|Nudity|Some Sexual Content),English,1h 38m
2023,https://www.rottentomatoes.com/m/about_my_father_2023,About My Father,3.7,26/05/2023,PG-13 (Partial Nudity|Language|Suggestive Material),English,1h 29m
2023,https://www.rottentomatoes.com/m/rebel_moon_part_1_a_child_of_fire,Rebel Moon: Part One - A Child of Fire,2.2,15/12/2023,PG-13 (Language|Bloody Images|Sexual Material|Partial Nudity|Sequences of Strong Violence|Sexual Assault),English,2h 13m
2023,https://www.rottentomatoes.com/m/anyone_but_you_2023,Anyone But You,5.2,22/12/2023,R (Language Throughout|Brief Graphic Nudity|Sexual Content),English,1h 43m
2023,https://www.rottentomatoes.com/m/meg_2_the_trench,Meg 2: The Trench,2.7,04/08/2023,PG-13 (Brief Suggestive Material|Action/Violence|Language|Some Bloody Images),English,1h 56m
2023,https://www.rottentomatoes.com/m/murder_mystery_2,Murder Mystery 2,4.5,24/03/2023,PG-13 (Strong Language|Smoking|Bloody Images|Suggestive Material|Violence),English,1h 30m
2023,https://www.rottentomatoes.com/m/aristotle_and_dante_discover_the_secrets_of_the_universe,Aristotle and Dante Discover the Secrets of the Universe,8.8,08/09/2023,PG-13 (Thematic Elements|Some Strong Violence|Smoking|Sexual Material|Strong Language|Teen Drug/Alcohol Use),English,1h 36m
2023,https://www.rottentomatoes.com/m/monster_2023,Monster,9.7,22/11/2023,PG-13 (Thematic Material|Brief Suggestive Material),Japanese,2h 6m
2023,https://www.rottentomatoes.com/m/still_a_michael_j_fox_movie,Still: A Michael J. Fox Movie,9.9,12/05/2023,R (Language),English,1h 35m
2023,https://www.rottentomatoes.com/m/she_came_to_me,She Came to Me,4.8,06/10/2023,R (Some Language),English,1h 42m
2023,https://www.rottentomatoes.com/m/infinity_pool_2023,Infinity Pool,8.7,27/01/2023,R,English,1h 57m
2023,https://www.rottentomatoes.com/m/eileen,Eileen,8.2,08/12/2023,R (Violent Content|Sexual Content|Language),English,1h 36m
2023,https://www.rottentomatoes.com/m/the_marvels,The Marvels,6.2,10/11/2023,PG-13 (Brief Language|Action/Violence),English,1h 45m
2023,https://www.rottentomatoes.com/m/the_league,The League,9.6,07/07/2023,PG (Some Violent Images|A Racial Slur|Smoking|Racism|Thematic Content),English,1h 43m
2023,https://www.rottentomatoes.com/m/maestro_2023,Maestro,7.8,22/11/2023,R (Some Language and Drug Use),English,2h 9m
2023,https://www.rottentomatoes.com/m/mission_impossible_dead_reckoning_part_one,Mission: Impossible - Dead Reckoning Part One,9.6,12/07/2023,PG-13 (Intense Sequences of Violence|Action|Some Language|Suggestive Material),English,2h 43m
2023,https://www.rottentomatoes.com/m/foe_2023,Foe,2.5,06/10/2023,R (Language|Some Sexual Content|Nudity),English,1h 50m
2023,https://www.rottentomatoes.com/m/good_grief_2023,Good Grief,7.6,29/12/2023,R (Language|Brief Drug Use),English,1h 40m
2023,https://www.rottentomatoes.com/m/scream_vi,Scream VI,7.6,10/03/2023,R (Language Throughout|Brief Drug Use|Strong Bloody Violence),English,2h 3m
2023,https://www.rottentomatoes.com/m/kokomo_city,KOKOMO CITY,9.9,28/07/2023,R (Language Throughout|Graphic Nudity|Drug Use|Strong Sexual Content),English,1h 13m
2023,https://www.rottentomatoes.com/m/the_iron_claw_2023,The Iron Claw,8.9,22/12/2023,R (Language|Drug Use|Some Sexuality|Suicide),English,2h 12m
2023,https://www.rottentomatoes.com/m/expend4bles,Expend4bles,1.3,22/09/2023,R (Sexual Material|Language|Strong/Bloody Violence),English,1h 43m
2023,https://www.rottentomatoes.com/m/warhorse_one,Warhorse One,2.0,30/06/2023,R,English,2h 6m
2023,https://www.rottentomatoes.com/m/sheroes_2022,Sheroes,4.0,23/06/2023,R (Pervasive Language|Nudity|Drug Use|Sexual Content|Some Violence),English,1h 31m
2023,https://www.rottentomatoes.com/m/leo_2023,Leo,8.2,17/11/2023,PG (Rude/Suggestive Material|Some Language),English,1h 46m
2023,https://www.rottentomatoes.com/m/prisoners_daughter,Prisoner's Daughter,4.3,30/06/2023,R (Language and Some Violence),English,1h 38m
2023,https://www.rottentomatoes.com/m/pain_hustlers,Pain Hustlers,2.3,20/10/2023,R (Nudity|Language Throughout|Drug Use|Some Sexual Content),English,2h 2m
2023,https://www.rottentomatoes.com/m/cypher_2023,Cypher,8.7,24/11/2023,R (Language),English,1h 21m
2023,https://www.rottentomatoes.com/m/renfield,Renfield,5.8,14/04/2023,R (Language Throughout|Bloody Violence|Some Drug Use|Some Gore),English,1h 33m
2023,https://www.rottentomatoes.com/m/chupa_2023,Chupa,6.8,07/04/2023,PG (Peril|Thematic Elements|Some Action),English,1h 35m
2023,https://www.rottentomatoes.com/m/after_death,After Death,5.0,27/10/2023,PG-13 (Violent Descriptions|Drug References|Thematic Material|Some Bloody Images),English,1h 48m
2023,https://www.rottentomatoes.com/m/priscilla,Priscilla,8.4,03/11/2023,R (Drug Use and Some Language),English,1h 53m
2023,https://www.rottentomatoes.com/m/mafia_mamma,Mafia Mamma,2.1,14/04/2023,R (Language|Bloody Violence|Sexual Content),English,1h 41m
