movieId,movieYear,movieURL,movieTitle,critic_score,critic_sentiment,audience_score,audience_sentiment,release_date_theaters,release_date_streaming,rating,original_language,runtime
fc146ab5-27f4-356c-9afa-04688c52c23e,2022,https://www.rottentomatoes.com/m/hot_seat,Hot Seat,16,negative,15,negative,"Jul 1, 2022, Limited",1-Jul-22,R (Some Violence|Language Throughout),English,1h 44m
fcad9585-e322-4e96-bdcb-0d967157f2ab,2022,https://www.rottentomatoes.com/m/shattered_2022,Shattered,19,negative,67,positive,"Jan 14, 2022, Limited",14-Jan-22,R (Language Throughout|Bloody Images|Nudity|Sexual Content|Violence),English,1h 32m
fda6d2d7-9587-4090-94d8-0e08ddfcf2a7,2022,https://www.rottentomatoes.com/m/x_2022,X,94,positive,76,positive,18-Jun-24,14-Apr-22,R (Gore|Drug Use|Strong Sexual Content|Graphic Nudity|Language|Strong Bloody Violence),English,1h 45m
fdbdc001-8ec9-3484-a305-dfa554eb00fc,2022,https://www.rottentomatoes.com/m/art_of_love_2021,Art of Love,,,79,positive,"Jul 22, 2022, Limited",22-Jul-22,R (Graphic Sexual Content|Some Language|Nudity),English,1h 52m
fdc8d06b-7309-3c82-9ff2-3da86ae16bf6,2022,https://www.rottentomatoes.com/m/samaritan_2022,Samaritan,38,negative,71,positive,,26-Aug-22,PG-13 (Strong Language|Strong Violence),English,1h 39m
fdf4a0de-8270-3951-b73e-2a8bdac332a8,2022,https://www.rottentomatoes.com/m/triangle_of_sadness,Triangle of Sadness,72,positive,80,positive,"Oct 7, 2022, Limited",22-Nov-22,R (Some Sexual Content|Language),English,2h 29m
fe75df0f-2406-38f3-b28b-158308d1ab94,2022,https://www.rottentomatoes.com/m/hes_watching_2022,He's Watching,90,positive,48,negative,,21-Jul-22,,English,1h 35m
fe975e10-ba4b-3543-8a87-a040f128bd39,2022,https://www.rottentomatoes.com/m/toscana,Toscana,71,positive,40,negative,,18-May-22,,Danish,1h 30m
ff32ce9f-9f14-3960-a8c3-fee0fe99ac9a,2022,https://www.rottentomatoes.com/m/prey_for_the_devil,Prey for the Devil,17,negative,69,positive,"Oct 28, 2022, Wide",13-Dec-22,PG-13 (Terror|Brief Language|Thematic Elements|Violent and Disturbing Content),English,1h 33m
ff933a81-2e7c-3e31-a782-e249778e3ae6,2022,https://www.rottentomatoes.com/m/virus_32,Virus-32,96,positive,58,negative,,21-Apr-22,,Spanish,1h 30m
ffb6b618-8140-31fa-8eec-a72536e0cfd4,2022,https://www.rottentomatoes.com/m/the_inhabitant_2022,The Inhabitant,75,positive,80,positive,"Oct 7, 2022, Limited",7-Oct-22,R,English,1h 37m
ffbab26c-91de-4e69-9c39-92102a8ebf7f,2022,https://www.rottentomatoes.com/m/prizefighter_the_life_of_jem_belcher,Prizefighter: The Life of Jem Belcher,20,negative,45,negative,,22-Jul-22,,English (United Kingdom),1h 47m
ffbd081b-5e0a-4718-9006-43b55b08f427,2022,https://www.rottentomatoes.com/m/metal_lords,Metal Lords,63,positive,84,positive,,8-Apr-22,R (Language Throughout|Drug/Alcohol Use|All Involving Teens|Nudity|Sexual References),English,1h 38m
0053219a-1c37-4078-b671-3503dcd20b6a,2023,https://www.rottentomatoes.com/m/one_ranger,One Ranger,25,negative,28,negative,"May 5, 2023, Wide",5-May-23,R,English,1h 35m
00b20d93-6265-3079-a0da-de975d7ff0b1,2023,https://www.rottentomatoes.com/m/fast_x,Fast X,56,negative,84,positive,"May 19, 2023, Wide",9-Jun-23,PG-13 (Intense Sequences of Violence|Action|Language|Some Suggestive Material),English,2h 21m
0118f357-408d-39f8-b652-224a78819805,2023,https://www.rottentomatoes.com/m/downwind,Downwind,100,positive,69,positive,"Aug 18, 2023, Limited",18-Aug-23,,English,1h 34m
016ecd76-c7ae-3d9a-be88-f6067b208549,2023,https://www.rottentomatoes.com/m/dark_harvest_2022,Dark Harvest,67,positive,46,negative,"Oct 11, 2023, Limited",13-Oct-23,R (Strong Horror Violence|Brief Drug Use|Language Throughout|Gore),English,1h 20m
0190a5c6-e5df-4c73-9648-5580bea120ce,2023,https://www.rottentomatoes.com/m/dave_chappelle_the_dreamer,Dave Chappelle: The Dreamer,20,negative,82,positive,,31-Dec-23,,English,56m
