Ten phim,Nam san xuat,Diem phe binh,Cam xuc phe binh,Diem khan gia,Cam xuc cua khan gia,Ngay ra rap,Ngay phat song,Danh gia,Ngon ngu,Thoi luong phim
Art of Love,2022,29.0,positive,79.0,positive,22/07/2022,22/07/2022,R (Graphic Sexual Content|Some Language|Nudity),English,1h 52m
Samaritan,2022,38.0,negative,71.0,positive,05/07/2022,26/08/2022,PG-13 (Strong Language|Strong Violence),English,1h 39m
Triangle of Sadness,2022,72.0,positive,80.0,positive,07/10/2022,22/11/2022,R (Some Sexual Content|Language),English,2h 29m
Prey for the Devil,2022,17.0,negative,69.0,positive,28/10/2022,13/12/2022,PG-13 (Terror|Brief Language|Thematic Elements|Violent and Disturbing Content),English,1h 33m
The Inhabitant,2022,75.0,positive,80.0,positive,07/10/2022,07/10/2022,R,English,1h 37m
One Ranger,2023,25.0,negative,28.0,negative,05/05/2023,05/05/2023,R,English,1h 35m
Fast X,2023,56.0,negative,84.0,positive,19/05/2023,09/06/2023,PG-13 (Intense Sequences of Violence|Action|Language|Some Suggestive Material),English,2h 21m
Dark Harvest,2023,67.0,positive,46.0,negative,11/10/2023,13/10/2023,R (Strong Horror Violence|Brief Drug Use|Language Throughout|Gore),English,1h 20m
The Marsh King's Daughter,2023,43.0,negative,73.0,positive,03/11/2023,21/11/2023,R (Violence),English,1h 48m
The Wonderful Story of Henry Sugar,2023,95.0,positive,81.0,positive,20/09/2023,27/09/2023,PG (Smoking),English,39m
Indiana Jones and the Dial of Destiny,2023,70.0,positive,88.0,positive,30/06/2023,29/08/2023,PG-13 (Language|Action|Sequences of Violence|Smoking),English,2h 24m
Chasing Shadows,2023,85.0,positive,64.0,positive,06/05/2023,29/09/2023,R (Drug Use|Some Violent Content|Language Throughout),English,1h 36m
Oppenheimer,2023,93.0,positive,91.0,positive,21/07/2023,21/11/2023,R (Nudity|Language|Some Sexuality),English,3h 0m
birth/rebirth,2023,96.0,positive,74.0,positive,18/08/2023,10/11/2023,R (Language|Gore|Disturbing Material|Nudity|Some Sexual Content),English,1h 38m
About My Father,2023,37.0,negative,81.0,positive,26/05/2023,16/06/2023,PG-13 (Partial Nudity|Language|Suggestive Material),English,1h 29m
Rebel Moon: Part One - A Child of Fire,2023,22.0,negative,57.0,negative,15/12/2023,21/12/2023,PG-13 (Language|Bloody Images|Sexual Material|Partial Nudity|Sequences of Strong Violence|Sexual Assault),English,2h 13m
Anyone But You,2023,52.0,negative,87.0,positive,22/12/2023,20/02/2024,R (Language Throughout|Brief Graphic Nudity|Sexual Content),English,1h 43m
Meg 2: The Trench,2023,27.0,negative,73.0,positive,04/08/2023,25/08/2023,PG-13 (Brief Suggestive Material|Action/Violence|Language|Some Bloody Images),English,1h 56m
Murder Mystery 2,2023,45.0,negative,46.0,negative,24/03/2023,31/03/2023,PG-13 (Strong Language|Smoking|Bloody Images|Suggestive Material|Violence),English,1h 30m
Aristotle and Dante Discover the Secrets of the Universe,2023,88.0,positive,95.0,positive,08/09/2023,14/11/2023,PG-13 (Thematic Elements|Some Strong Violence|Smoking|Sexual Material|Strong Language|Teen Drug/Alcohol Use),English,1h 36m
Monster,2023,97.0,positive,91.0,positive,22/11/2023,27/02/2024,PG-13 (Thematic Material|Brief Suggestive Material),Japanese,2h 6m
Still: A Michael J. Fox Movie,2023,99.0,positive,95.0,positive,12/05/2023,12/05/2023,R (Language),English,1h 35m
She Came to Me,2023,48.0,negative,74.0,positive,06/10/2023,10/11/2023,R (Some Language),English,1h 42m
Infinity Pool,2023,87.0,positive,52.0,negative,27/01/2023,14/02/2023,R,English,1h 57m
Eileen,2023,82.0,positive,53.0,negative,08/12/2023,02/01/2024,R (Violent Content|Sexual Content|Language),English,1h 36m
The Marvels,2023,62.0,positive,82.0,positive,10/11/2023,16/01/2024,PG-13 (Brief Language|Action/Violence),English,1h 45m
The League,2023,96.0,positive,79.0,positive,07/07/2023,14/07/2023,PG (Some Violent Images|A Racial Slur|Smoking|Racism|Thematic Content),English,1h 43m
Maestro,2023,78.0,positive,57.0,negative,22/11/2023,20/12/2023,R (Some Language and Drug Use),English,2h 9m
Mission: Impossible - Dead Reckoning Part One,2023,96.0,positive,64.0,positive,12/07/2023,10/10/2023,PG-13 (Intense Sequences of Violence|Action|Some Language|Suggestive Material),English,2h 43m
Foe,2023,25.0,negative,56.0,negative,06/10/2023,07/11/2023,R (Language|Some Sexual Content|Nudity),English,1h 50m
Good Grief,2023,76.0,positive,70.0,positive,29/12/2023,05/01/2024,R (Language|Brief Drug Use),English,1h 40m
Scream VI,2023,76.0,positive,91.0,positive,10/03/2023,25/04/2023,R (Language Throughout|Brief Drug Use|Strong Bloody Violence),English,2h 3m
KOKOMO CITY,2023,99.0,positive,70.0,positive,28/07/2023,14/11/2023,R (Language Throughout|Graphic Nudity|Drug Use|Strong Sexual Content),English,1h 13m
The Iron Claw,2023,89.0,positive,64.0,positive,22/12/2023,13/02/2024,R (Language|Drug Use|Some Sexuality|Suicide),English,2h 12m
Expend4bles,2023,13.0,negative,70.0,positive,22/09/2023,13/10/2023,R (Sexual Material|Language|Strong/Bloody Violence),English,1h 43m
Warhorse One,2023,20.0,negative,71.0,positive,30/06/2023,04/07/2023,R,English,2h 6m
Sheroes,2023,40.0,negative,47.0,negative,23/06/2023,23/06/2023,R (Pervasive Language|Nudity|Drug Use|Sexual Content|Some Violence),English,1h 31m
Leo,2023,82.0,positive,90.0,positive,17/11/2023,21/11/2023,PG (Rude/Suggestive Material|Some Language),English,1h 46m
Prisoner's Daughter,2023,43.0,negative,79.0,positive,30/06/2023,18/07/2023,R (Language and Some Violence),English,1h 38m
Pain Hustlers,2023,23.0,negative,64.0,positive,20/10/2023,27/10/2023,R (Nudity|Language Throughout|Drug Use|Some Sexual Content),English,2h 2m
Cypher,2023,87.0,positive,80.0,positive,24/11/2023,24/11/2023,R (Language),English,1h 21m
Renfield,2023,58.0,negative,79.0,positive,14/04/2023,02/05/2023,R (Language Throughout|Bloody Violence|Some Drug Use|Some Gore),English,1h 33m
Chupa,2023,68.0,positive,57.0,negative,07/04/2023,07/04/2023,PG (Peril|Thematic Elements|Some Action),English,1h 35m
After Death,2023,50.0,negative,87.0,positive,27/10/2023,11/03/2024,PG-13 (Violent Descriptions|Drug References|Thematic Material|Some Bloody Images),English,1h 48m
Priscilla,2023,84.0,positive,63.0,positive,03/11/2023,15/12/2023,R (Drug Use and Some Language),English,1h 53m
Mafia Mamma,2023,21.0,negative,67.0,positive,14/04/2023,02/05/2023,R (Language|Bloody Violence|Sexual Content),English,1h 41m
Wonka,2023,82.0,positive,91.0,positive,15/12/2023,30/01/2024,PG (Some Violence|Mild Language|Thematic Elements),English,1h 56m
Spider-Man: Across the Spider-Verse,2023,95.0,positive,64.0,positive,02/06/2023,08/08/2023,PG (Some Language|Animated Action Violence|Thematic Elements),English,2h 20m
Five Nights at Freddy's,2023,32.0,negative,87.0,positive,27/10/2023,27/10/2023,PG-13 (Language|Bloody Images|Strong Violent Content),English,1h 50m
Vindicta,2023,14.0,negative,31.0,negative,06/10/2023,16/10/2023,R (Brief Drug Material|Violence and Gore|Language),English,1h 23m
Bottoms,2023,90.0,positive,89.0,positive,01/09/2023,22/09/2023,R (Some Violence|Pervasive Language|Crude Sexual Content),English,1h 28m
Victim/Suspect,2023,79.0,positive,75.0,positive,23/05/2023,23/05/2023,R (Some Language),English,1h 30m
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,95.0,positive,90.0,positive,02/08/2023,01/09/2023,PG (Language|Impolite Material|Sequences of Violence & Action),English,1h 39m
Missing,2023,88.0,positive,90.0,positive,20/01/2023,07/03/2023,PG-13 (Some Strong Violence|Language|Teen Drinking|Thematic Material),English,1h 51m
Sick Girl,2023,38.0,negative,76.0,positive,20/10/2023,20/10/2023,R (Drug Use|Some Sexual References|Language Throughout),English,1h 39m
Manodrome,2023,49.0,negative,28.0,negative,10/11/2023,17/11/2023,R,English (United Kingdom),1h 36m
Talk to Me,2023,94.0,positive,82.0,positive,28/07/2023,12/09/2023,R (Some Sexual Material|Language Throughout|Strong/Bloody Violent Content),English,1h 35m
Guardians of the Galaxy Vol. 3,2023,82.0,positive,64.0,positive,05/05/2023,07/07/2023,PG-13 (Intense Sequences of Violence|Action|Strong Language|Suggestive/Drug References|Thematic Elements),English,2h 30m
Barbie,2023,88.0,positive,83.0,positive,21/07/2023,12/09/2023,PG-13 (Suggestive References|Brief Language),English,1h 54m
You People,2023,40.0,negative,34.0,negative,20/01/2023,27/01/2023,R (Some Sexual Material|Language Throughout|Drug Content),English,1h 57m
Past Lives,2023,95.0,positive,84.0,positive,30/06/2023,22/08/2023,PG-13 (Some Strong Language),English,1h 46m
War Pony,2023,93.0,positive,87.0,positive,28/07/2023,28/07/2023,R (Some Violence|Pervasive Language|Drug and Alcohol Use),English,1h 55m
Sharper,2023,69.0,positive,73.0,positive,10/02/2023,17/02/2023,R (Language Throughout|Some Sexual References),English,1h 56m
Nefarious,2023,33.0,negative,96.0,positive,14/04/2023,02/06/2023,R (Disturbing Violent Content),English,1h 38m
Love Again,2023,28.0,negative,91.0,positive,05/05/2023,23/05/2023,PG-13 (Some Strong Language|Some Sexual Material),English,1h 44m
House Party,2023,28.0,negative,60.0,positive,13/01/2023,31/01/2023,R (Pervasive Language|Drug Use|Sexual Material|Some Violence),English,1h 40m
No Hard Feelings,2023,70.0,positive,87.0,positive,23/06/2023,15/08/2023,R (Language|Brief Drug Use|Sexual Content|Some Graphic Nudity),English,1h 43m
Consecration,2023,41.0,negative,32.0,negative,10/02/2023,19/05/2023,R (Bloody Violent Content|Some Language),English (United Kingdom),1h 30m
Elemental,2023,73.0,positive,93.0,positive,16/06/2023,15/08/2023,PG (Some Peril|Brief Language|Thematic Elements),English,1h 41m
Sweetwater,2023,25.0,negative,95.0,positive,14/04/2023,02/05/2023,PG-13 (Smoking|Violence|Some Racial Slurs),English,1h 54m
The Canterville Ghost,2023,57.0,negative,50.0,negative,20/10/2023,05/12/2023,PG,English,1h 34m
The Black Demon,2023,28.0,negative,77.0,positive,28/04/2023,30/05/2023,R (Some Grisly Images),English,1h 40m
Rare Objects,2023,40.0,negative,69.0,positive,14/04/2023,14/04/2023,R (Language and Some Drug Use),English,2h 3m
Reptile,2023,45.0,negative,71.0,positive,22/09/2023,29/09/2023,R (Violence|Some Nude Images|Language),English,2h 14m
The Deepest Breath,2023,85.0,positive,93.0,positive,14/07/2023,19/07/2023,PG (Language|Unsettling Images|Some Intense Peril),English,1h 48m
Transfusion,2023,57.0,negative,44.0,negative,03/03/2023,03/03/2023,R (Teen Drinking and Drug Use|Language Throughout|Violence),English,1h 45m
Cocaine Bear,2023,66.0,positive,71.0,positive,24/02/2023,21/03/2023,R (Drug Content|Bloody Violence and Gore|Language Throughout),English,1h 35m
"Are You There God? It's Me, Margaret.",2023,99.0,positive,95.0,positive,28/04/2023,06/06/2023,PG-13 (Some Suggestive Material|Sexual Education|Thematic Material),English,1h 45m
Detective Knight: Independence,2023,67.0,positive,83.0,positive,20/01/2023,20/01/2023,R (Sexuality|Language Throughout|Brief Drug Use|Violence),English,1h 31m
