Ma phim,Nam san xuat,Nguon xem phim,Ten phim,Diem phe binh,Cam xuc phe binh,Diem khan gia,Cam xuc cua khan gia,Ngay ra rap,Ngay phat song,Danh gia,Ngon ngu,Thoi luong phim
0053219a-1c37-4078-b671-3503dcd20b6a,2023,https://www.rottentomatoes.com/m/one_ranger,One Ranger,2.5,negative,2.8,negative,05/05/2023,05/05/2023,R,English,1h 35m
00b20d93-6265-3079-a0da-de975d7ff0b1,2023,https://www.rottentomatoes.com/m/fast_x,Fast X,5.6,negative,8.4,positive,19/05/2023,09/06/2023,PG-13 (Intense Sequences of Violence|Action|Language|Some Suggestive Material),English,2h 21m
016ecd76-c7ae-3d9a-be88-f6067b208549,2023,https://www.rottentomatoes.com/m/dark_harvest_2022,Dark Harvest,6.7,positive,4.6,negative,11/10/2023,13/10/2023,R (Strong Horror Violence|Brief Drug Use|Language Throughout|Gore),English,1h 20m
021177ba-cccc-41b1-b444-60750db1c4cc,2023,https://www.rottentomatoes.com/m/the_marsh_kings_daughter,The Marsh King's Daughter,4.3,negative,7.3,positive,03/11/2023,21/11/2023,R (Violence),English,1h 48m
03a843bb-1347-4d13-ac36-2355eddce855,2023,https://www.rottentomatoes.com/m/the_wonderful_story_of_henry_sugar,The Wonderful Story of Henry Sugar,9.5,positive,8.1,positive,20/09/2023,27/09/2023,PG (Smoking),English,39m
03dfaaa5-bb73-31e9-abb5-30349e999761,2023,https://www.rottentomatoes.com/m/indiana_jones_and_the_dial_of_destiny,Indiana Jones and the Dial of Destiny,7.0,positive,8.8,positive,30/06/2023,29/08/2023,PG-13 (Language|Action|Sequences of Violence|Smoking),English,2h 24m
04790376-4752-3670-a6b6-bfe8210e2c48,2023,https://www.rottentomatoes.com/m/bobcat_moretti,Bobcat Moretti,7.1,positive,9.4,positive,04/08/2023,04/08/2023,R (Drug Use|Some Violent Content|Language Throughout),English,1h 36m
07d7f9a2-3fa1-342a-b6ca-27fd594e04c6,2023,https://www.rottentomatoes.com/m/oppenheimer_2023,Oppenheimer,9.3,positive,9.1,positive,21/07/2023,21/11/2023,R (Nudity|Language|Some Sexuality),English,3h 0m
0a0664c5-3c65-439e-8b0c-94bf52a92736,2023,https://www.rottentomatoes.com/m/birth_rebirth,birth/rebirth,9.6,positive,7.4,positive,18/08/2023,10/11/2023,R (Language|Gore|Disturbing Material|Nudity|Some Sexual Content),English,1h 38m
0a7d477e-4875-48f5-85a6-80432ce80b7b,2023,https://www.rottentomatoes.com/m/about_my_father_2023,About My Father,3.7,negative,8.1,positive,26/05/2023,16/06/2023,PG-13 (Partial Nudity|Language|Suggestive Material),English,1h 29m
